Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
21308,2021,07/26/2022,Monroe,63 BIRCHWOOD RD,208100.00,465000.00,0.4475,Residential,Single Family,,,,POINT (-73.293552982 41.337955995)
210300,2021,09/15/2022,Ellington,8 PUNKIN DR,167560.00,349525.00,0.479393463,Residential,Single Family,,,,POINT (-72.469817005 41.926306003)
210164,2021,12/17/2021,Glastonbury,77 KIMBERLY LN,198000.00,395000.00,0.5012,Residential,Single Family,,,,POINT (-72.601069982 41.650212985)
211208,2021,09/19/2022,New Britain,306 CHESTNUT ST,117180.00,200000.00,0.5859,Residential,Two Family,08 - Part Interest,,,POINT (-72.770838976 41.666767998)
211181,2021,08/04/2022,Bristol,15 OWSIANKO LN,148330.00,312000.00,0.4754,Residential,Single Family,,,,POINT (-72.899173961 41.667328999)
210176,2021,08/17/2022,Essex,9 RUSSET LA,301300.00,775000.00,0.3887,Residential,Single Family,,,,POINT (-72.395832041 41.345404993)
211494,2021,05/04/2022,Bridgeport,463 SALEM STREET,137630.00,350000.00,0.3932,Residential,Single Family,,,,POINT (-73.206081033 41.196886008)
21251,2021,05/31/2022,Darien,36 RICHMOND DRIVE,589260.00,1100500.00,0.5354,Residential,Single Family,,,,POINT (-73.458223014 41.090590987)
211812,2021,06/29/2022,Bridgeport,20 MANILA PL #26,148210.00,262000.00,0.5656,Residential,Two Family,,,,POINT (-73.158964009 41.202373012)
210001,2021,10/01/2021,Glastonbury,47 ADDISON POND RD,113000.00,217000.00,0.5207,Residential,Condo,,,,POINT (-72.577704001 41.722117016)
210235,2021,07/12/2022,Mansfield,12C WHITE OAK CONDOS,41200.00,94500.00,0.4359,Residential,Condo,,,,POINT (-72.250300121 41.772668459)
21324,2021,07/14/2022,Bethel,12 HUNTING RIDGE LANE,89383.00,571581.00,0.1563,Residential,Condo,07 - Change in Property,,,POINT (-73.410751393 41.383743769)
210131,2021,04/01/2022,Coventry,89 STANDISH RD,240200.00,360000.00,0.6672,Residential,Single Family,,,,POINT (-72.33227098 41.782467012)
211229,2021,09/23/2022,New Britain,29 SOUTH MOUNTAIN DR,114730.00,300000.00,0.3824,Residential,Single Family,,,,POINT (-72.808734985 41.657517982)
21000196,2021,08/25/2022,Granby,15 ICE POND RD,194600.00,397250.00,0.4898,Residential,Single Family,,,,POINT (-72.788568965 41.918452998)
21232,2021,05/10/2022,Bethel,79 PAYNE ROAD,219170.00,524112.00,0.4181,Residential,Single Family,,,,POINT (-73.402777982 41.408693013)
210019,2021,10/27/2021,Litchfield,248 OLD MT TOM RD,478600.00,160000.00,2.99125,Vacant Land,,07 - Change in Property,,ASSESSMENT INCLUDES NEW HOUSE,POINT (-73.28500101 41.708550989)
210456,2021,09/30/2022,Killingly,104 FRANKLIN ST,110320.00,250000.00,0.4412,Residential,Two Family,,,,POINT (-71.881946023 41.798903002)
211833,2021,07/01/2022,Bridgeport,3012-C MADISON AVE,62070.00,137500.00,0.4514,Residential,Condo,,,,POINT (-73.226341015 41.215380007)
210244,2021,02/07/2022,Branford,37 FENWAY RD,283600.00,471000.00,0.6021,Residential,Single Family,,,,POINT (-72.815368005 41.254787986)
210040,2021,10/18/2021,Middletown,97 MINER ST,212990.00,459900.00,0.4631,Residential,Single Family,,,,POINT (-72.705601031 41.580508995)
2100305,2021,07/27/2022,Madison,281 OLD TOLL RD,165100.00,140000.00,1.1792,Residential,Single Family,12 - Non Buildable Lot,sale of abutting parcels/same buyer & seller,,POINT (-72.654839974 41.357344008)
210238,2021,05/23/2022,Cromwell,98 WOODLAND DRIVE,60550.00,160000.00,0.3784,Residential,Condo,,,,POINT (-72.678149041 41.613509008)
210219,2021,01/28/2022,Glastonbury,592 HEBRON AVE,730700.00,1565786.00,0.4666,Commercial,,,,,POINT (-72.592394041 41.714085979)
210656,2021,02/22/2022,Danbury,60 STATE ST,110000.00,245000.00,0.4489,Residential,Single Family,,J14080,,POINT (-73.445605986 41.392241014)
210104,2021,12/21/2021,Avon,73 BRONSON ROAD,192600.00,259000.00,0.7436,Residential,Single Family,,,,POINT (-72.869637978 41.77867198)
210096,2021,04/01/2022,Canton,59 WICKHAMS FANCY,156650.00,210000.00,0.7459,Residential,Condo,,,,POINT (-72.926491511 41.828096066)
210076,2021,10/22/2021,New Britain,57 WHITING ST,622720.00,1275000.00,0.4884,Commercial,,,,,POINT (-72.781428002 41.66062398)
21269,2021,04/04/2022,Guilford,98 SADDLE HILL RD,218090.00,455000.00,0.4793,Residential,Single Family,,,,POINT (-72.740332034 41.343211993)
210248,2021,07/21/2022,Harwinton,157 PLYMOUTH RD,172570.00,399000.00,0.4325,Residential,Single Family,,,,POINT (-73.044724033 41.751302007)
21348,2021,05/31/2022,Guilford,1443 LITTLE MEADOW RD,362580.00,860000.00,0.4216,Residential,Single Family,,,,POINT (-72.69965097 41.33564699)
210516,2021,07/19/2022,Glastonbury,79 BRIDLEPATH LN,182300.00,295000.00,0.6179,Residential,Single Family,,,,POINT (-72.540380979 41.694000006)
210351,2021,07/08/2022,New Canaan,289 NEW NORWALK RD-#5,657860.00,1011000.00,0.6507,Residential,Condo,,,,POINT (-73.48451696 41.149401018)
210207,2021,04/26/2022,Cromwell,22 GLENVIEW DRIVE UNIT 16 C4,126210.00,230000.00,0.5487,Residential,Condo,25 - Other,"PRIVATE SALE, NOT ON OPEN MARKET",,POINT (-72.690429032 41.606107998)
210179,2021,11/17/2021,Hamden,48 FURMAN RD,112700.00,230000.00,0.49,Residential,Single Family,,,,POINT (-72.950194018 41.345667011)
212196,2021,09/08/2022,Bridgeport,452 SUMMIT ST,214598.00,430000.00,0.499,Residential,Three Family,,,,POINT (-73.203779027 41.205102997)
211038,2021,07/20/2022,Hamden,365 MATHER ST U38,59710.00,135000.00,0.4422,Residential,Condo,,,,POINT (-72.922237019 41.359736999)
21000124,2021,12/13/2021,Cheshire,13 ABBEY CT,177440.00,340000.00,0.5218,Residential,Single Family,,,,POINT (-72.906472 41.532849996)
211290,2021,09/26/2022,Hamden,41 HOMESTEAD AVE,163870.00,370000.00,0.4428,Residential,Two Family,,,,POINT (-72.928909013 41.357488009)
210272,2021,08/08/2022,Ellington,1 JACOBS HILL RD,156560.00,360000.00,0.4348,Residential,Single Family,27 - CRUMBLING FOUNDATION ASSESSMENT REDUCTION,ASSESSMENT REDUCED DUE TO FOUNDATION,,POINT (-72.340790011 41.938314001)
212080,2021,08/16/2022,Bridgeport,186 ISLAND BROOK AVE,274750.00,405000.00,0.6783,Industrial,,,,,POINT (-73.190006974 41.200121004)
2100100,2021,06/30/2022,Marlborough,137 JONES HOLLOW RD,176410.00,400000.00,0.441,Residential,Single Family,,,,POINT (-72.462014962 41.649148987)
211593,2021,05/18/2022,Bridgeport,325 LAFAYETTE ST  UNIT #4210,49770.00,123500.00,0.4029,Residential,Condo,,,,POINT (-73.189155037 41.167946985)
210117,2021,01/03/2022,Bloomfield,16 NORTHWOOD DRIVE,487060.00,710000.00,0.686,Industrial,,,,,POINT (-72.705040031 41.849487998)
211033,2021,07/20/2022,Hamden,352 PINE ROCK AVE,46060.00,100000.00,0.4606,Vacant Land,,25 - Other,,DUPLICATE ENTRY - ALSO SEE #211007,POINT (-72.946166011 41.343530003)
210516,2021,02/03/2022,Bristol,40 FERN HILL ROAD,112840.00,237000.00,0.4761,Residential,Single Family,,,,POINT (-72.943200997 41.694952986)
210235,2021,08/01/2022,Derby,14 HOMESTEAD AVE,159530.00,365000.00,0.437,Residential,Single Family,,,,POINT (-73.06379303 41.311095013)
210084,2021,07/28/2022,Bethany,16 COACHMANS LN,406580.00,800000.00,0.5082,Residential,Single Family,,,,POINT (-73.034621995 41.414706987)
21029,2021,10/15/2021,Farmington,29 FARM DR,149710.00,281000.00,0.5327,Residential,Condo,,,,POINT (-72.875216972 41.733197012)
210294,2021,11/30/2021,Danbury,92 FRANKLIN ST,118700.00,202000.00,0.5876,Residential,Single Family,,H13057,,POINT (-73.466955029 41.40039099)
210042,2021,12/06/2021,Essex,7 HANNA LA,1008200.00,3650000.00,0.2762,Residential,Single Family,,,,POINT (-72.392561004 41.358237016)
21046,2021,11/01/2021,Bethel,12 EVERGREEN DRIVE,205380.00,487000.00,0.4217,Residential,Single Family,,,,POINT (-73.387176997 41.410174012)
211168,2021,08/19/2022,Hamden,746 SHEPARD AVE,157710.00,320000.00,0.4928,Residential,Single Family,,,,POINT (-72.923693039 41.394515988)
211076,2021,08/05/2022,New Britain,53 AUDUBON ST,105140.00,235000.00,0.4474,Residential,Single Family,,,,POINT (-72.763948968 41.687686002)
210995,2021,08/03/2022,Fairfield,451 SOUTH BENSON ROAD,395080.00,725000.00,0.5449,Residential,Single Family,,,,POINT (-73.241862037 41.143857018)
21066,2021,03/03/2022,Haddam,14 BARTMAN RD,213350.00,382000.00,0.558507853,Residential,Single Family,,,,POINT (-72.556806995 41.444609008)
210331,2021,07/26/2022,Bloomfield,17 OAK LANE,150570.00,300000.00,0.5019,Residential,Single Family,,,,POINT (-72.736101017 41.81959)
210105,2021,05/12/2022,Brooklyn,341 DAY ST,82800.00,410000.00,0.2019,Residential,Single Family,07 - Change in Property,,,POINT (-71.919544978 41.815387021)
210561,2021,02/23/2022,Bristol,76 OSULLIVAN DRIVE,131320.00,245000.00,0.536,Residential,Single Family,,,,POINT (-72.894711016 41.692458993)
210330,2021,01/14/2022,Fairfield,1353 MILL PLAIN ROAD,272580.00,450000.00,0.6057,Residential,Single Family,,,,POINT (-73.265976018 41.158766999)
210174,2021,02/23/2022,New Canaan,34 HERITAGE HILL RD-UNIT C,569520.00,940000.00,0.6058,Residential,Condo,,,,POINT (-73.494971038 41.149861017)
210342,2021,08/26/2022,Cromwell,9 NORDLAND AVENUE,148330.00,265000.00,0.5597,Residential,Single Family,,,,POINT (-72.644681024 41.60358999)
210370,2021,08/16/2022,Ledyard,12 KINGS HWY,177730.00,280000.00,0.6347,Residential,Single Family,,,,POINT (-72.081530035 41.423411007)
211218,2021,09/21/2022,New Britain,6 GREENFIELD DR,86030.00,200000.00,0.4301,Residential,Single Family,01 - Family,,,POINT (-72.761812002 41.678889991)
211578,2021,05/16/2022,Bridgeport,230 LEWIS ST,101210.00,265000.00,0.3819,Residential,Single Family,,,,POINT (-73.200484017 41.170851021)
21144,2021,01/18/2022,Bethel,15 RAVENCREST DRIVE,339290.00,660000.00,0.514,Residential,Single Family,,,,POINT (-73.359155037 41.364124004)
21546,2021,09/07/2022,Farmington,58 MALLARD DR 85D,100070.00,208500.00,0.4799,Residential,Condo,,,,POINT (-72.879615963 41.763614016)
210143,2021,06/30/2022,Canton,3 DRAKE LANE,214100.00,397200.00,0.539,Residential,Single Family,,,,POINT (-72.887522025 41.813634993)
210050,2021,10/21/2021,Middletown,157 FRONT ST,137120.00,202000.00,0.6788,Residential,Two Family,,,,POINT (-72.64107999 41.544406)
210331,2021,12/06/2021,Danbury,29 CLEVELAND ST 4,95100.00,270000.00,0.3522,Residential,Condo,,J12107-4,,POINT (-73.438482961 41.403447996)
210677,2021,09/20/2022,Glastonbury,1824 MANCHESTER RD,7350000.00,11393647.00,0.645,Commercial,,,,,POINT (-72.52054202 41.728992021)
210033,2021,06/22/2022,Bridgewater,19 WEWAKA BROOK RD,401700.00,675000.00,0.5951,Residential,Single Family,,,,POINT (-73.347626987 41.513496014)
210385,2021,01/03/2022,Bristol,82 FAIRFIELD ST,122780.00,236000.00,0.5202,Residential,Single Family,,,,POINT (-72.937907992 41.691096011)
210395,2021,08/15/2022,Avon,236 WATERVILLE ROAD,169510.00,300000.00,0.565,Residential,Single Family,,,,POINT (-72.815440005 41.789825988)
210028,2021,03/31/2022,Lyme,0 STERLING CITY ROAD,115400.00,150000.00,0.7693,Vacant Land,,,,,POINT (-72.337623298 41.383346928)
210911,2021,07/15/2022,Fairfield,17 LONGVIEW AVENUE,321370.00,581780.00,0.5523,Residential,Two Family,,,,POINT (-73.239015962 41.153248982)
210715,2021,01/27/2022,Middletown,141 RIDGEWOOD RD,44490.00,45000.00,0.9886,Vacant Land,,,,,POINT (-72.690960558 41.567701689)
21014,2021,12/20/2021,Chester,27 RIDGE RD,148020.00,83000.00,1.7833,Residential,Single Family,25 - Other,PROPERTY ESTATE SALE,,POINT (-72.459281037 41.404384003)
210397,2021,08/10/2022,New Canaan,89 COMSTOCK HILL RD,653660.00,1540000.00,0.4244,Residential,Single Family,,,,POINT (-73.453723022 41.148740985)
211502,2021,05/04/2022,Bridgeport,334 CARROLL AVE,13990.00,36000.00,0.3886,Vacant Land,,25 - Other,NO EXPOSURE,,POINT (-73.163041961 41.177335059)
210106,2021,12/28/2021,Killingly,16 JEFFERSON ST,144690.00,305000.00,0.4743,Residential,Single Family,,,,POINT (-71.878297968 41.795546008)
210023,2021,10/07/2021,Hamden,38 PEMBROKE RD,118510.00,250000.00,0.474,Residential,Single Family,,,,POINT (-72.944768999 41.360970019)
210263,2021,04/28/2022,Killingly,27 LEWIS BLVD,122360.00,140000.00,0.874,Residential,Single Family,,,,POINT (-71.878941027 41.818249985)
210438,2021,11/30/2021,Bridgeport,316 BENHAM AVE,141520.00,277000.00,0.5109,Residential,Single Family,,,,POINT (-73.20191397 41.180398008)
210086,2021,10/19/2021,Danbury,135 BRENTWOOD CI,325900.00,661046.00,0.493,Residential,Condo,,B16001-29,,POINT (-73.524558607 41.384932534)
210397,2021,01/07/2022,Bristol,535 BROAD ST,731430.00,2900000.00,0.252217241,Commercial,,,,,POINT (-72.916872554 41.67134272)
210062,2021,11/18/2021,Ledyard,109 AVERY HILL RD,83790.00,97785.00,0.8568,Residential,Single Family,08 - Part Interest,MH ONLY,,POINT (-72.043411989 41.464156989)
210573,2021,04/14/2022,Fairfield,150 PARKWOOD ROAD,798770.00,1530000.00,0.522,Residential,Single Family,,,,POINT (-73.245610005 41.162766005)
21142,2021,01/03/2022,Guilford,234 MULBERRY POINT RD,177800.00,449000.00,0.3959,Residential,Single Family,,,,POINT (-72.689012993 41.266178992)
210710,2021,03/07/2022,Danbury,55 CROSS ST C-6,106300.00,225000.00,0.4724,Residential,Condo,,K13133-24,,POINT (-73.428082025 41.397567001)
210654,2021,03/22/2022,Bristol,16 DUDLEY ST,67690.00,135000.00,0.5014,Residential,Two Family,,,,POINT (-72.953581984 41.668329002)
210054,2021,03/28/2022,Kent,188 BULLS BRIDGE RD,162900.00,306500.00,0.5314,Residential,Single Family,,,,POINT (-73.497755003 41.679824992)
210686,2021,04/05/2022,New Britain,130B-403 CLINIC DR,28350.00,70000.00,0.405,Residential,Condo,,,,POINT (-72.783372017 41.648807005)
21070,2021,01/10/2022,Burlington,45 SAVARESE LN,118650.00,14000.00,8.475,Residential,Single Family,06 - Portion of Property,ONE OWNER LEAVING OWNERSHIP,,POINT (-72.965998013 41.763314992)
210072,2021,10/01/2021,New Canaan,180 PARK ST- UNIT D-207,1755670.00,3000000.00,0.5852,Residential,Condo,07 - Change in Property,NEW CONDO UNIT AT THE VUE NEW CANAAN,,POINT (-73.494666371 41.143323043)
210188,2021,07/12/2022,Litchfield,26 SEDGEWICK LN,215130.00,435000.00,0.4945,Residential,Three Family,,,,POINT (-73.186030012 41.748415992)
210013,2021,10/12/2021,Madison,247B OLD TOLL RD & 142-3,178400.00,334900.00,0.5326,Residential,Single Family,28 - Use Assessment,sale of 2 parcels & pa 490 classification,,POINT (-72.656306975 41.356289983)
21093,2021,11/30/2021,Guilford,240 DEER LN,378050.00,730000.00,0.517876712,Residential,Single Family,25 - Other,,RELOCATION - SEE #21092,POINT (-72.672756963 41.304636002)
210404,2021,05/31/2022,Branford,220 MAPLE ST,217400.00,380000.00,0.5721,Residential,Single Family,,,,POINT (-72.826471009 41.271657991)
210136,2021,11/04/2021,Fairfield,3555 MOREHOUSE HIGHWAY,333550.00,569000.00,0.5862,Residential,Single Family,,,,POINT (-73.278566978 41.229453013)
210229,2021,12/03/2021,Hamden,1640 SHEPARD AVE,148890.00,265000.00,0.5618,Residential,Single Family,,EXECUTOR'S DEED,,POINT (-72.922485961 41.418747986)
210570,2021,03/23/2022,Hamden,62 WOODBINE ST,136150.00,205000.00,0.6641,Residential,Single Family,,,,POINT (-72.91517099 41.358860001)
211723,2021,06/13/2022,Bridgeport,176 DAYTON RD,150370.00,255000.00,0.5896,Residential,Single Family,,,,POINT (-73.184099995 41.216727985)
211266,2021,08/26/2022,Bristol,"155 REDSTONE HILL RD., #72",67690.00,145500.00,0.4652,Residential,Condo,,,,POINT (-72.908835026 41.659368999)
210215,2021,05/03/2022,Berlin,66 BLUE RIDGE DR,215000.00,430000.00,0.5,Residential,Single Family,,,,POINT (-72.796292972 41.612082995)
211015,2021,06/22/2022,Bristol,31 EBERT RD,109760.00,51752.94,2.120845695,Residential,Single Family,01 - Family,FAMILY SALE,,POINT (-72.924395023 41.651589)
210079,2021,12/28/2021,Ellington,109 ORCHARD ST,122630.00,195000.00,0.6288,Residential,Single Family,,,,POINT (-72.458571006 41.871557004)
21201,2021,04/04/2022,Bethel,5 LAURA LANE,108010.00,285000.00,0.3789,Residential,Condo,,,,POINT (-73.425778008 41.367949001)
2100668,2021,09/16/2022,Naugatuck,246 MAY ST,118550.00,255000.00,0.4649,Residential,Single Family,,,,POINT (-73.036733984 41.488155006)
210072,2021,01/27/2022,Essex,WESTBROOK RD,1700.00,198000.00,0.0085,Vacant Land,,28 - Use Assessment,ALSO LOCATED IN 2 TOWNS,,POINT (-72.422111016 41.333368608)
21066,2021,06/20/2022,Canterbury,0 MILLER RD,46400.00,68000.00,0.6823,Vacant Land,,16 - Charitable Group,MAP 4 LOT 7 31.00 AC,,POINT (-72.049624855 41.693397127)
210168,2021,11/15/2021,New Britain,30 YEATON ST,93660.00,125000.00,0.7492,Residential,Single Family,,,,POINT (-72.793274984 41.699193014)
210109,2021,04/21/2022,Essex,34 FORDHAM RD,303800.00,791000.00,0.384,Residential,Single Family,,NO BUILDING PERMITS IN SYSTEM,,POINT (-72.377883034 41.336499011)
210286,2021,09/13/2022,Clinton,2 BLAKE AVE,366637.00,835000.00,0.439,Residential,Single Family,,,,POINT (-72.510953961 41.259202986)
210252,2021,08/02/2022,Mansfield,66 BALL HILL RD,218600.00,375000.00,0.582933333,Residential,Single Family,25 - Other,PURCHASED BY ABUTTER,,POINT (-72.265815983 41.786295991)
211065,2021,07/28/2022,Hamden,312 BATTIS RD,120120.00,259000.00,0.4637,Residential,Single Family,,,,POINT (-72.930093963 41.362734996)
21012,2021,10/18/2021,East Haddam,29 FALLS BASHAN RD,204470.00,400000.00,0.5111,Residential,Single Family,,,,POINT (-72.42481398 41.505905991)
218438,2021,08/15/2022,Middletown,5 YELLOW GREEN RD,123020.00,255000.00,0.4824,Residential,Single Family,,,,POINT (-72.674438037 41.527245017)
2100021,2021,11/12/2021,Marlborough,102 PETTENGILL RD,159850.00,315000.00,0.5074,Residential,Single Family,,,,POINT (-72.474217002 41.632290004)
210131,2021,01/24/2022,Avon,13 COTTONWOOD DRIVE,119990.00,210000.00,0.5713,Residential,Condo,,,,POINT (-72.879237017 41.771912017)
210577,2021,11/23/2021,Bridgeport,3250 FAIRFIELD AVE #205,113340.00,235000.00,0.482297872,Residential,Condo,,,,POINT (-73.233418024 41.156224013)
210524,2021,01/20/2022,Danbury,191 WESTVILLE AV,186000.00,425000.00,0.4376,Residential,Single Family,,F13088,,POINT (-73.485071004 41.401189995)
211410,2021,08/22/2022,Danbury,97 HAYESTOWN RD,215700.00,266039.00,0.810783381,Residential,Single Family,01 - Family,J08076,,POINT (-73.443757022 41.42604502)
210534,2021,07/26/2022,Branford,F72 RIVERVIEW CROSSING,75000.00,148000.00,0.5067,Residential,Condo,,,,POINT (-72.853819985 41.255074018)
210018,2021,11/16/2021,Bethany,530 BETHMOUR RD,228780.00,375000.00,0.61,Residential,Single Family,,,,POINT (-73.009462037 41.413549991)
210040,2021,12/28/2021,Easton,56 BANKS ROAD,272580.00,375000.00,0.7268,Residential,Single Family,,,,POINT (-73.284906965 41.246001991)
210168,2021,10/25/2021,Bridgeport,74-76 SANFORD PL,198670.00,321500.00,0.6179,Residential,Three Family,,,,POINT (-73.19802703 41.178580979)
218268,2021,06/21/2022,Middletown,452 WASHINGTON ST,65760.00,170000.00,0.3868,Residential,Single Family,,,,POINT (-72.666180019 41.557376995)
2121234,2021,05/19/2022,Ansonia,14 N COE LA,108800.00,170000.00,0.64,Residential,Single Family,14 - Foreclosure,"LOW SALE, SOLD OUT OF FCL AS-IS",,POINT (-73.061120963 41.327486998)
210555,2021,07/21/2022,East Windsor,74 DEPOT ST,105520.00,274000.00,0.3851,Residential,Single Family,,,,POINT (-72.53807604 41.916458985)
210296,2021,12/13/2021,Bristol,218 WOLCOTT ST,99930.00,32000.00,3.1228,Residential,Two Family,01 - Family,FAMILY SALE,,POINT (-72.949996038 41.662487989)
2100368,2021,04/12/2022,Naugatuck,99 LANTERN PARK DRIVE #3,41970.00,140000.00,0.2997,Residential,Condo,,,,POINT (-73.065665966 41.509038015)
210089,2021,01/20/2022,East Windsor,26 WOLFERSDORF RD,140160.00,307500.00,0.4558,Residential,Single Family,,,,POINT (-72.51786199 41.910122015)
210466,2021,01/24/2022,Bristol,20 WARD ST,96320.00,232500.00,0.4142,Residential,Two Family,,,,POINT (-72.949115016 41.675081002)
211067,2021,07/28/2022,Hamden,80 MARTIN TR,172900.00,385000.00,0.449,Residential,Single Family,,,,POINT (-72.920966993 41.352845985)
210200,2021,03/24/2022,New Canaan,148 BRUSHY RIDGE RD,691950.00,1601000.00,0.4321,Residential,Single Family,,,,POINT (-73.490257977 41.156503005)
21017,2021,10/22/2021,East Haddam,3 HILLSIDE RD,64430.00,90100.00,0.715,Vacant Land,,,,,POINT (-72.336017472 41.529350283)
210010,2021,10/04/2021,Branford,10 WILFORD AVE,200200.00,390000.00,0.5133,Residential,Two Family,,,,POINT (-72.810005011 41.279091985)
210084,2021,04/29/2022,Easton,36 FAR HORIZONS DRIVE,204890.00,269000.00,0.7616,Residential,Single Family,,,,POINT (-73.272694471 41.230979767)
210817,2021,06/23/2022,Fairfield,279 REID STREET,286580.00,400000.00,0.7164,Residential,Single Family,,,,POINT (-73.251574986 41.172980988)
210381,2021,09/28/2022,Berlin,171 SCENIC DR,0.00,453120.00,0,Residential,Condo,07 - Change in Property,,,POINT (-72.719074019 41.635737019)
211513,2021,09/12/2022,Danbury,57 NORTH ST 215 & 216,53000.00,105400.00,0.5028,Commercial,,25 - Other,2 PARCELS SOLD TOGETHER / I12007-33 & 34,,POINT (-73.457030018 41.406710987)
210048,2021,10/13/2021,Danbury,55 OIL MILL RD 22,82200.00,164000.00,0.5012,Residential,Condo,,H14137-22,,POINT (-73.463893958 41.39038899)
210208,2021,06/23/2022,Derby,277 OLIVIA ST,185150.00,345000.00,0.5366,Residential,Two Family,,,,POINT (-73.090385959 41.326972014)
210358,2021,09/01/2022,Berlin,7 PEQUOT CIRCLE,236500.00,430000.00,0.55,Residential,Single Family,,,,POINT (-72.773535015 41.590769995)
210056,2021,05/19/2022,Bolton,152 HEBRON RD,136700.00,360000.00,0.3797,Residential,Single Family,07 - Change in Property,FLIPPED PROPERTY,,POINT (-72.426112002 41.747876993)
210063,2021,07/05/2022,Bolton,WEST ST,5040.00,15000.00,0.336,Vacant Land,,28 - Use Assessment,5 ACS SPLIT FROM 30 ACS W/FOREST DESIGNATION,,POINT (-72.437342703 41.744837998)
21000288,2021,05/10/2022,Cheshire,148 EASTGATE DR,179240.00,450000.00,0.3983,Residential,Single Family,,,,POINT (-72.89376998 41.512699985)
212203,2021,09/09/2022,Bridgeport,288 CARROLL AVE,91870.00,141224.00,0.6505,Residential,Single Family,14 - Foreclosure,,,POINT (-73.162740978 41.176724011)
210174,2021,12/27/2021,Branford,19 LEETES ISLAND RD #37,36000.00,99000.00,0.3636,Residential,Single Family,,MOBILE HOME ONLY,,POINT (-72.766670991 41.297903993)
211730,2021,06/13/2022,Bridgeport,160 WAKE ST #162,160290.00,250000.00,0.6411,Residential,Single Family,25 - Other,NO EXPOSURE,,POINT (-73.159484022 41.201721989)
210454,2021,02/14/2022,Hamden,1319 DUNBAR HILL RD,132650.00,155000.00,0.8558,Residential,Single Family,,,,POINT (-72.945586989 41.391839018)
212083,2021,08/16/2022,Bridgeport,170 LAKESIDE AVE,164530.00,385000.00,0.4273,Residential,Single Family,,,,POINT (-73.201978008 41.223888016)
210695,2021,05/23/2022,Fairfield,350 MOREHOUSE HIGHWAY,315350.00,650000.00,0.4851,Residential,Single Family,07 - Change in Property,UPDATES & UPGRADES,,POINT (-73.248048971 41.195448009)
2100423,2021,05/16/2022,Naugatuck,307 PARK AVENUE,129610.00,290000.00,0.4469,Residential,Single Family,,,,POINT (-73.06298996 41.500784984)
211045,2021,05/31/2022,Danbury,160 SHELTER ROCK RD 8,113000.00,278000.00,0.4064,Residential,Condo,,M14002-8,,POINT (-73.412475005 41.394514982)
210884,2021,06/16/2022,Hamden,84 BROADWAY,93380.00,120000.00,0.7781,Residential,Single Family,,,,POINT (-72.892794997 41.401252021)
210327,2021,04/18/2022,Glastonbury,117 THREE MILE RD,195100.00,412000.00,0.4735,Residential,Single Family,,,,POINT (-72.547317004 41.685349001)
210954,2021,02/14/2022,Bridgeport,333 VINCELLETTE ST UNIT #23,66420.00,145000.00,0.458068966,Residential,Condo,,,,POINT (-73.218168995 41.214528992)
210905,2021,04/28/2022,Danbury,12 MOORLAND DR,272000.00,640000.00,0.425,Residential,Condo,,B15004-43,,POINT (-73.522548401 41.38503251)
210160,2021,11/17/2021,Fairfield,51 TAQUOSHE PLACE,494340.00,1250000.00,0.3954,Residential,Single Family,,,,POINT (-73.260011037 41.194261006)
210056,2021,11/23/2021,Avon,46 LAKEVIEW BOULEVARD,132120.00,255000.00,0.5181,Residential,Single Family,,,,POINT (-72.88244804 41.810185002)
211638,2021,05/27/2022,Bridgeport,325 LAFAYETTE ST UNIT #1204,51510.00,150000.00,0.3434,Residential,Condo,,,,POINT (-73.189155037 41.167946985)
210954,2021,06/06/2022,Bristol,"98 SKYRIDGE RD., #1-4-1",73500.00,165000.00,0.4454,Residential,Condo,,,,POINT (-72.948355029 41.659004009)
212089,2021,08/17/2022,Bridgeport,371 WOOD AVE #373,187014.00,375000.00,0.4987,Residential,Three Family,25 - Other,DISTRESS SALE,,POINT (-73.207566841 41.178003093)
21000155,2021,06/30/2022,Granby,13 CRANBERRY LN,176260.00,399900.00,0.4407,Residential,Single Family,,,,POINT (-72.794041006 41.973018014)
210025,2021,10/20/2021,Ledyard,1897 CENTER GROTON RD,283920.00,500000.00,0.5678,Residential,Single Family,,,,POINT (-72.015488014 41.431186018)
211139,2021,06/20/2022,Danbury,39 GREGORY ST,200500.00,325000.00,0.6169,Residential,Single Family,,F13080,,POINT (-73.482315034 41.401023991)
210613,2021,08/29/2022,Glastonbury,23 CROSSROADS LN,146700.00,380000.00,0.386,Residential,Condo,,,,POINT (-72.610357968 41.717417995)
21116,2021,01/24/2022,Darien,9 CLUBHOUSE CIRCLE,869820.00,1507500.00,0.5769,Residential,Single Family,,,,POINT (-73.48022903 41.063884986)
210011,2021,11/08/2021,Bolton,68 HIGH RIDGE FARM LANE,475100.00,620000.00,0.7662,Residential,Single Family,,,,POINT (-72.415365983 41.746363012)
210322,2021,12/06/2021,Danbury,1 HIGH FIELDS DR,392700.00,599000.00,0.6555,Residential,Single Family,,E10085,,POINT (-73.500040999 41.417195993)
211302,2021,09/29/2022,Hamden,148 PUTNAM AVE,124390.00,250000.00,0.4975,Residential,Single Family,,,,POINT (-72.918159977 41.344914986)
